title,url
" Thinking in C# (Larry O'Brien, et al)",https://freecomputerbooks.com/Thinking-in-C-Sharp.html
 Fundamentals of Computer Programming with C# (Svetlin Nakov),https://freecomputerbooks.com/Fundamentals-of-Computer-Programming-with-C-Sharp.html
 Developing on AWS with C#: Using C# to Build Apps on the AWS,https://freecomputerbooks.com/Developing-on-AWS-with-C-Sharp.html
 C# Development - The C# Yellow Book (Rob Miles),https://freecomputerbooks.com/The-CSharp-Yellow-Book.html
 C# Essentials (Neil Smyth),https://freecomputerbooks.com/C-Sharp-Essentials.html
" Programming Basics with C# (Svetlin Nakov, et al.)",https://freecomputerbooks.com/Programming-Basics-with-CSharp.html
 Essential C# (Krzysztof Kowalczyk),https://freecomputerbooks.com/Essential-CSharp.html
 Object-oriented Programming in C# for C and Java Programmers,https://freecomputerbooks.com/Object-oriented-Programming-in-C-Sharp-for-C-and-Java-Programmers.html
 Object Oriented Programming using C# (Simon Kendal),https://freecomputerbooks.com/Object-Oriented-Programming-using-C-Sharp.html
" Guide to NoSQL with Azure Cosmos DB (Gaston C. Hillar, et al)",https://freecomputerbooks.com/Guide-to-NoSQL-with-Azure-Cosmos-DB.html
" Programmer's Heaven C# School Book (Faraz Rasheed, et al)",https://freecomputerbooks.com/Programmers-Heaven-C-Sharp-School-Book.html
" Dissecting a C# Application (Christian Holm, et al)",https://freecomputerbooks.com/Dissecting-a-C-Sharp-Application-Inside-SharpDevelop.html
 C# 1: Introduction to programming and the C# language,https://freecomputerbooks.com/C-Sharp-One.html
 C# Programming (Wikibooks),https://freecomputerbooks.com/C-Sharp-Programming-Wikibook.html
 Threading in C# (Joseph Albahari),https://freecomputerbooks.com/Threading-in-C-Sharp.html
 C# Design Patterns: A Tutorial (James W. Cooper),https://freecomputerbooks.com/Introduction-to-Design-Patterns-in-C-Sharp.html
 .NET Book Zero: C#/.NET for C/C++ Developers (Charles Petzold),https://freecomputerbooks.com/Dot-NET-Book-Zero.html
 Under the Hood of .NET Memory Management (Chris Farrell),https://freecomputerbooks.com/Under-the-Hood-of-Dot-Net-Memory-Management.html
 What Every Programmer Should Know About Memory,https://freecomputerbooks.com/What-Every-Programmer-Should-Know-About-Memory.html
" Pointers and Memory (Nick Parlante, et al.)",https://freecomputerbooks.com/Pointers-and-Memory.html
 C# Notes for Professionals,https://freecomputerbooks.com/C-Sharp-Notes-for-Professionals.html
 Windows Phone 8 Programming in C# (Rob Miles),https://freecomputerbooks.com/Windows-Phone-8.1-Development-for-Absolute-Beginners.html
