title,url
 Modern C++ Tutorial: C++11/14/17/20 On the Fly (Changkun Ou),https://freecomputerbooks.com/Modern-Cpp-Tutorial.html
" O'Reilly® C++ Today: The Beast is Back (Jon Kalb, et al)",https://freecomputerbooks.com/Cpp-Today-The-Beast-Is-Back.html
 Fundamentals of Programming C++ (Richard L. Halterman),https://freecomputerbooks.com/Fundamentals-of-Programming-Cpp.html
" Thinking in C++, Vol 1: Introduction to Standard C++ (2nd Edition)",https://freecomputerbooks.com/Thinking-in-Cpp-Volume-One.html
" Thinking in C++, Vol 2: Practical Programming (Bruce Eckel)",https://freecomputerbooks.com/Thinking-in-Cpp-Volume-Two.html
 Build Your Own Redis with C/C++ (James Smith),https://freecomputerbooks.com/Build-Your-Own-Redis-with-C-and-Cpp.html
" Elements of Programming (Alexander Stepanov, et al)",https://freecomputerbooks.com/Elements-of-Programming.html
" Data Structures and Algorithm Analysis in C++, 3rd Edition",https://freecomputerbooks.com/Data-Structures-and-Algorithm-Analysis-in-Cpp.html
 Data Parallel C++: Mastering DPC++ Programming,https://freecomputerbooks.com/Data-Parallel-Cpp.html
 Pro TBB: C++ Parallel Programming with Threading Building Blocks,https://freecomputerbooks.com/Pro-TBB-Cpp-Parallel-Programming-with-Threading-Building-Blocks.html
 Programming Persistent Memory: A Comprehensive Guide,https://freecomputerbooks.com/Programming-Persistent-Memory.html
 Principles of Algorithmic Problem Solving using C++,https://freecomputerbooks.com/Principles-of-Algorithmic-Problem-Solving.html
 Scientific Programming and Computer Architecture,https://freecomputerbooks.com/Scientific-Programming-and-Computer-Architecture.html
 The Rook's Guide to C++ (Jeremy A. Hansen),https://freecomputerbooks.com/The-Rooks-Guide-to-Cpp.html
 C++ Annotations: An Extensive Tutorial (Frank B. Brokken),https://freecomputerbooks.com/Cpp-Annotations.html
" A Complete Guide to Programming in C++ (Ulla Kirch-Prinz, et al.)",https://freecomputerbooks.com/A-Complete-Guide-to-Programming-in-Cpp.html
 C++ Essentials (Sharam Hekmat),https://freecomputerbooks.com/Cpp-Essentials.html
" Object-Oriented Programming in C++, 4th Edition (Robert Lafore)",https://freecomputerbooks.com/Object-Oriented-Programming-in-Cpp-4th-Edition.html
 The Boost C++ Libraries (Boris Schaling),https://freecomputerbooks.com/The-Boost-Cpp-Libraries.html
 Mastering OpenCV 4: A Comprehensive Guide with C++,https://freecomputerbooks.com/Learning-OpenCV-3-Computer-Vision-with-Python.html
" C++ Core Guidelines (Bjarne Stroustrup, et al)",https://freecomputerbooks.com/Cpp-Core-Guidelines.html
" Practical C++ Metaprogramming (Edouard Alligand, et al)",https://freecomputerbooks.com/Practical-Cpp-Metaprogramming.html
 Practical Guide to Bare Metal C++ (Alex Robenko),https://freecomputerbooks.com/Practical-Guide-to-Bare-Metal-Cpp.html
 More C++ Idioms (Wikibooks),https://freecomputerbooks.com/More-Cpp-Idioms.html
 Tips and Tricks of the C++ Professionals,https://freecomputerbooks.com/Tips-and-Tricks-of-the-Cpp-Professionals.html
 C++ Notes for Professionals,https://freecomputerbooks.com/Cpp-Notes-for-Professionals.html
 Optimizing Software in C++ (Agner Fog),https://freecomputerbooks.com/Optimizing-Software-in-Cpp.html
 Essential C++ (Krzysztof Kowalczyk),https://freecomputerbooks.com/Essential-Cpp.html
 The C++ Hackers Guide (Steve Oualline),https://freecomputerbooks.com/The-Cpp-Hackers-Guide.html
 Programming Fundamentals: A Structured Approach Using C++,https://freecomputerbooks.com/Programming-Fundamentals-A-Modular-Structured-Approach-Using-Cpp.html
 C++ For C Programmers (JT Kalnay),https://freecomputerbooks.com/Cpp-For-C-Programmers.html
 Programming Abstractions in C++ (Eric S. Roberts),https://freecomputerbooks.com/Programming-Abstractions-in-Cpp.html
