title,url
" How To Code in Go (Mark Bates, et al)",https://freecomputerbooks.com/How-To-Code-in-Go.html
 Go Bootcamp: Everything You Need to Know to Get Started with Go,https://freecomputerbooks.com/Go-Bootcamp.html
 The Way To Go: An Introduction To The Go Programming Language,https://freecomputerbooks.com/The-Way-To-Go.html
" Effective Go (Robert Griesemer, et al)",https://freecomputerbooks.com/Effective-Go.html
 The Little Go Book (Karl Seguin),https://freecomputerbooks.com/The-Little-Go-Book.html
 Go Succinctly (Mark Lewin),https://freecomputerbooks.com/Go-Succinctly.html
 Essential Go (Krzysztof Kowalczyk),https://freecomputerbooks.com/Essential-Go.html
 Go 101: Focusing on Go Syntax/Semantics Details (Tapir Liu),https://freecomputerbooks.com/Go-101.html
" Go for Javascript Developers (Maor Zamski, et al)",https://freecomputerbooks.com/Go-for-Javascript-Developers.html
 Building Web Apps with Go (Jeremy Saenz),https://freecomputerbooks.com/Building-Web-Apps-with-Go.html
 Go Web Development Succinctly (Mark Lewin),https://freecomputerbooks.com/Go-Web-Development-Succinctly.html
 Practical Cryptography With Go (Kyle Isom),https://freecomputerbooks.com/Practical-Cryptography-With-Go.html
 Network Programming with Go (Jan Newmarch),https://freecomputerbooks.com/Network-Programming-with-Go.html
 An Introduction to Programming in Go (Caleb Doxsey),https://freecomputerbooks.com/An-Introduction-to-Programming-in-Go.html
 Go Programming (John P. Baugh),https://freecomputerbooks.com/Go-Programming-John-P-Baugh.html
 Go by Example (Mark McGranaghan),https://freecomputerbooks.com/Go-By-Example.html
 Go Data Structures and Algorithms (Christopher Fox),https://freecomputerbooks.com/Go-Data-Structures-and-Algorithms.html
