title,url
 Dynamic Proxies in Java (Heinz M. Kabutz),https://freecomputerbooks.com/Dynamic-Proxies-Java.html
 The Java Web Scraping Handbook (Kevin Sahin),https://freecomputerbooks.com/The-Java-Web-Scraping-Handbook.html
" Naked Objects (Richard Pawson, et al)",https://freecomputerbooks.com/Naked-Objects.html
 Java Transaction Design Strategies (Mark Richards),https://freecomputerbooks.com/Java-Transaction-Design-Strategies.html
 Playing with Java Microservices on Kubernetes and OpenShift,https://freecomputerbooks.com/Playing-with-Java-Microservices-on-Kubernetes-and-OpenShift.html
 Object-Oriented vs. Functional Programming (R. Warburton),https://freecomputerbooks.com/Object-Oriented-vs-Functional-Programming.html
 High-Performance Java Platform Computing,https://freecomputerbooks.com/Java-Platform-Performance-Strategies-and-Tactics.html
 Docker for Java Developers (Arun Gupta),https://freecomputerbooks.com/Docker-for-Java-Developers.html
 OSGi In Practice (Neil Bartlett),https://freecomputerbooks.com/OSGi-In-Practice.html
 Building Reactive Microservices in Java (Clement Escoffier),https://freecomputerbooks.com/Building-Reactive-Microservices-in-Java.html
 Microservices for Java Developers: Frameworks and Containers,https://freecomputerbooks.com/Microservices-for-Java-Developers.html
" Microservices Best Practices for Java (Michael Hofmann, et al)",https://freecomputerbooks.com/Microservices-Best-Practices-for-Java.htmlhttps://freecomputerbooks.com/Microservices-Best-Practices-for-Java.html
 Developing Reactive Microservices: Implementation in Java,https://freecomputerbooks.com/Developing-Reactive-Microservices.html
 RESTful Java with JAX-RS 2.0: Designing and Developing,https://freecomputerbooks.com/RESTful-Java-with-JAX-RS-2.0.html
 Real-World Maintainable Java Software (Abraham Marin-Perez),https://freecomputerbooks.com/Real-World-Maintainable-Software.html
 The Java Native Interface: Programmer's Guide and Specification,https://freecomputerbooks.com/The-Java-Native-Interface-Programmers-Guide-and-Specification.html
 The JHipster Mini-Book (Matt Raible),https://freecomputerbooks.com/The-JHipster-Mini-book.html
 Practical Guide to Building an API Back End with Spring Boot,https://freecomputerbooks.com/Practical-Guide-to-Building-an-API-Back-End-with-Spring-Boot.html
 The Java Garbage Collection Mini-Book (Charles Humble),https://freecomputerbooks.com/The-Java-Garbage-Collection-Mini-Book.html
" Migrating Java to the Cloud (Jason Goodwin, et al)",https://freecomputerbooks.com/Migrating-Java-to-the-Cloud.html
 What Every Programmer Should Know About Memory,https://freecomputerbooks.com/What-Every-Programmer-Should-Know-About-Memory.html
" Software Architecture with Spring 5.0 (Rene Enriquez, et al)",https://freecomputerbooks.com/Software-Architecture-with-Spring.html
 3D Game Development with LWJGL 3 (Antonio H. Bejarano),https://freecomputerbooks.com/3D-Game-Development-with-LWJGL.html
" Processing XML with Java: A Guide to SAX, DOM, JDOM, JAXP",https://freecomputerbooks.com/Processing-XML-with-Java.html
 Java Based Real Time Programming (Klas Nilsson),https://freecomputerbooks.com/Java-Based-Real-Time-Programming.html
" BIG CPU, BIG DATA: Solving Toughest Problems in Java",https://freecomputerbooks.com/Big-CPU-Big-Data.html
 Java Authentication and Authorization Service (JAAS) in Action,https://freecomputerbooks.com/JAAS-In-Action.html
 Spring Framework Cookbook (JCGs),https://freecomputerbooks.com/Spring-Framework-Cookbook.html
" Spring by Example (David Winterfeldt, et al)",https://freecomputerbooks.com/Spring-by-Example.html
 Practical Artificial Intelligence Programming in Java (Mark Watson),https://freecomputerbooks.com/Practical-Artificial-Intelligence-Programming-in-Java.html
 The Common Java Cookbook (Tim O'Brien),https://freecomputerbooks.com/Common-Java-Cookbook.html
 The Java Game Development Tutorial (Fabian Birzele),https://freecomputerbooks.com/The-Java-Game-Development-Tutorial.html
 Apache Jakarta Commons: Reusable Java Components (Iverson),https://freecomputerbooks.com/Apache-Jakarta-Commons-Reusable-Java-Components.html
 Modern Java EE Design Patterns: Building Scalable Architecture,https://freecomputerbooks.com/Modern-Java-EE-Design-Patterns.html
 Java Design Patterns (Rohit Joshi),https://freecomputerbooks.com/Java-Design-Patterns.html
 Java Design Pattern: A Tutorial (James W. Cooper),https://freecomputerbooks.com/Java-Design-Patterns-A-Tutorial.html
" Java Application Development on Linux (Carl Albing, et al)",https://freecomputerbooks.com/Java-Application-Development-on-Linux.html
 O'Reilly® RxJava for Android App Development (K. Matt Dupree),https://freecomputerbooks.com/RxJava-for-Android-App-Development.html
" Reactive Programming on Android with RxJava (C. Arriola, et al)",https://freecomputerbooks.com/Reactive-Programming-on-Android-with-RxJava.html
" Pro Java 6 3D Game Development: Java 3D, JOGL, JInput and JOAL",https://freecomputerbooks.com/Pro-Java-6-3D-Game-Development.html
" Java Game Development Tutorials (Fabian Birzele, et al.)",https://freecomputerbooks.com/The-Java-Game-Development-Tutorial.html
 Getting Started with the Java 3D API (Dennis J. Bouvier),https://freecomputerbooks.com/Getting-Started-with-the-Java-3D-API.html
 UML for Java Programmers (Robert Cecil Martin),https://freecomputerbooks.com/UML-for-Java-Programmers.html
 Java Persistence (Wikibooks),https://freecomputerbooks.com/Java-Persistence-Wikibooks.html
 Guide to Java Persistence and Hibernate (S. Hennebrueder),https://freecomputerbooks.com/Guide-to-Java-Persistence-and-Hibernate.html
" How to Design Classes (Matthias Felleisen, et al)",https://freecomputerbooks.com/How-to-Design-Classes.html
" AI Algorithms, Data Structures, and Idioms in Prolog, Lisp, and Java",https://freecomputerbooks.com/AI-Algorithms-Data-Structures-and-Idioms-in-Prolog-Lisp-and-Java.html
 O'Reilly® Killer Game Programming in Java (Andrew Davison),https://freecomputerbooks.com/Killer-Game-Programming-in-Java.html
 A Brief Introduction to Neural Networks using Java,https://freecomputerbooks.com/A-Brief-Introduction-to-Neural-Networks.html
 InfoQ eMag: Java 8 (InfoQ),https://freecomputerbooks.com/InfoQ-eMag-Java-8.html
 Concurrent Programming: The Java Programming Language,https://freecomputerbooks.com/Concurrent-Programming-The-Java-Programming-Language.html
" TCP/IP Sockets in Java, 2nd Ed: Practical Guide for Programmers",https://freecomputerbooks.com/TCP-IP-Sockets-in-Java-Second-Edition.html
 CICS and the JVM server: Developing and Deploying Java Apps,https://freecomputerbooks.com/CICS-and-the-JVM-Server.html
" Java Application Development for CICS (Chris Rayns, et al)",https://freecomputerbooks.com/Java-Application-Development-for-Cics.html
 Building Skills in Object-Oriented Design (in Java and Python),https://freecomputerbooks.com/Building-Skills-in-Object-Oriented-Design.html
 The ABC of PDF with iText: PDF Syntax Essentials (Bruno Lowagie),https://freecomputerbooks.com/The-ABC-of-PDF-with-iText.html
