title,url
 Introduction to newLISP (WikiBooks),https://freecomputerbooks.com/Introduction-to-newLISP.html
 Practical Common Lisp (Peter Seibel),https://freecomputerbooks.com/Practical-Common-Lisp.html
 On Lisp: Advanced Techniques for Common Lisp (Paul Graham),https://freecomputerbooks.com/On-Lisp-Advanced-Techniques-for-Common-Lisp.html
 Algorithmic Composition: Music Composition using Common LISP,https://freecomputerbooks.com/Algorithmic-Composition-A-Gentle-Introduction-to-Music-Composition.html
" Common LISP - The Language, 2nd Edition (Guy L. Steele JR.)",https://freecomputerbooks.com/Common-LISP-The-Language-2nd-Edition.html
 Lisp Hackers: Interviews with 100x More Productive Programmers,https://freecomputerbooks.com/Lisp-Hackers.html
 Paradigms of Artificial Intelligence Programming: in Common Lisp,https://freecomputerbooks.com/Paradigms-of-Artificial-Intelligence-Programming-Case-Studies-in-Common-Lisp.html
 Let Over Lambda - 50 Years of Lisp (Doug Hoyte),https://freecomputerbooks.com/Let-Over-Lambda.html
 Successful Lisp: How to Understand and Use Common Lisp,https://freecomputerbooks.com/Successful-Lisp.html
 Common LISP: A Gentle Introduction to Symbolic Computation,https://freecomputerbooks.com/Common-LISP-A-Gentle-Introduction-to-Symbolic-Computation.html
 Common LISP: An Interactive Approach (Stuart Charles Shapiro),https://freecomputerbooks.com/Common-LISP-An-Interactive-Approach.html
 ANSI Common LISP (Paul Graham),https://freecomputerbooks.com/ANSI-Common-LISP-by-Paul-Graham.html
 Sketchy LISP: Introduction to Functional Programming,https://freecomputerbooks.com/Sketchy-LISP.html
" Structure and Interpretation of Computer Programs, 2nd Edition",https://freecomputerbooks.com/Structure-and-Interpretation-of-Computer-Programs.html
" AI Algorithms, Data Structures, and Idioms in Prolog, Lisp, and Java",https://freecomputerbooks.com/AI-Algorithms-Data-Structures-and-Idioms-in-Prolog-Lisp-and-Java.html
" Practical Semantic Web and Linked Data Applications, LISP Edition",https://freecomputerbooks.com/Practical-Semantic-Web-and-Linked-Data-Applications.html
 Build Your Own Lisp (Daniel Holden),https://freecomputerbooks.com/Build-Your-Own-Lisp.html
 An Introduction to Programming in Emacs Lisp (Robert J. Chassell),https://freecomputerbooks.com/An-Introduction-to-Programming-in-Emacs-Lisp.html
" GNU Emacs Lisp Reference Manual (Bil Lewis, et al)",https://freecomputerbooks.com/GNU-Emacs-Lisp-Reference-Manual.html
 Exploring Randomness (Gregory J. Chaitin),https://freecomputerbooks.com/Exploring-Randomness.html
 Performance and Evaluation of Lisp Systems (Richard P. Gabriel),https://freecomputerbooks.com/Performance-and-Evaluation-of-Lisp-Systems.html
" Lisp Primer (Colin Allen, et al)",https://freecomputerbooks.com/Lisp-Primer.html
 Zen-Style Programming (Nils M. Holm),https://freecomputerbooks.com/Zen-Style-Programming.html
 The Limits of Mathematics (Gregory J. Chaitin),https://freecomputerbooks.com/The-Limits-of-Mathematics.html
" The Common Lisp Cookbook (Marco Antoniotti, et al)",https://freecomputerbooks.com/The-Common-Lisp-Cookbook.html
