title,url
 Perl 6 (Raku) at a Glance by Andrew Shitov,https://freecomputerbooks.com/Perl-6-at-a-Glance.html
 Think Perl 6 (Raku): How to Think Like a Computer Scientist,https://freecomputerbooks.com/Think-Perl%206-How-to-Think-Like-a-Computer-Scientist.html
" Using Perl 6 (Raku) by Jonathan S. Duff, et al",https://freecomputerbooks.com/Using-Perl-6.html
" Mastering Perl/Tk (Steve Lidie, et al)",https://freecomputerbooks.com/Mastering-Perl-Tk.html
 Higher-Order Perl: Transforming Programs with Programs,https://freecomputerbooks.com/HighOrderPerl.html
 O'Reilly® Perl and LWP (Sean M. Burke),https://freecomputerbooks.com/Perl-and-LWP.html
 Beginning Perl (Simon Cozens),https://freecomputerbooks.com/Beginning-Perl.html
 Modern Perl (chromatic),https://freecomputerbooks.com/Modern-Perl.html
 Beginning Perl (Curtis 'Ovid' Poe),https://freecomputerbooks.com/Beginning-Perl-by-Curtis-Ovid-Poe.html
 Exploring Programming Language Architecture in Perl (Bill Hails),https://freecomputerbooks.com/Exploring-Programming-Language-Architecture-in-Perl.html
 Perl for the Web (Chris Radcliff),https://freecomputerbooks.com/Perl-for-the-Web.html
 Perl for System Administration: Managing Multi-platforms,https://freecomputerbooks.com/Perl-for-System-Administration.html
" Unix and Perl Primer for Biologists (Keith Bradnam, et al)",https://freecomputerbooks.com/Unix-and-Perl-Primer-for-Biologists.html
 Learning PERL the Hard Way: Perl Programming for Beginners,https://freecomputerbooks.com/Learning-PERL-the-Hard-Way.html
" O'Reilly® Practical mod_perl (Stas Bekman, Eric Cholet)",https://freecomputerbooks.com/Practical-mod_perl.html
" O'Reilly® Embedding Perl in HTML with Mason (Dave Rolsky, et al)",https://freecomputerbooks.com/Embedding-Perl-in-HTML-with-Mason.html
 CGI Programming 101: Programming Perl for the World Wide Web,https://freecomputerbooks.com/CGI-Programming-101.html
 O'Reilly® CGI Programming on the World Wide Web (Gundavaram),https://freecomputerbooks.com/CGI-Programming-on-the-World-Wide-Web.html
 O'Reilly® Web Client Programming with Perl (Clinton Wong),https://freecomputerbooks.com/Web-Client-Programming-with-Perl.html
" O'Reilly® Mastering Perl, 2nd Edtion (Brian D Foyis)",https://freecomputerbooks.com/Mastering-Perl.html
 O'Reilly® Extreme Programming with Perl (Robert Nagler),https://freecomputerbooks.com/Extreme-Programming-with-Perl.html
 Practical Perl Programming (A. D. Marshall),https://freecomputerbooks.com/Practical-Perl-Programming.html
" Picking Up Perl, 2nd Edition (Bradley M. Kuhn, et al)",https://freecomputerbooks.com/Picking_Up_Perl.html
 Impatient Perl (Greg London),https://freecomputerbooks.com/Impatient-Perl.html
 Perl for Beginners (Geoffrey Sampson),https://freecomputerbooks.com/Perl_for_Beginners.html
 Learn Regex The Hard Way (Zed A. Shaw),https://freecomputerbooks.com/Learn-Regex-The-Hard-Way.html
 Regular Expressions Succinctly (Joe Booth),https://freecomputerbooks.com/Regular-Expressions-Succinctly.html
" The Perl CD Bookshelf, Version 4.0 - 6 Bestselling Books",https://freecomputerbooks.com/The-Perl-CD-Bookshelf-Version-4-0.html
" The Perl CD Bookshelf, Version 3.0 - 7 Bestselling Books",https://freecomputerbooks.com/The-Perl-CD-Bookshelf-Version-3-0.html
" The Perl CD Bookshelf, Version 2.0 - 5 Bestselling Books",https://freecomputerbooks.com/The-Perl-CD-Bookshelf-Version-2-0.html
" The Perl CD Bookshelf, Version 1.0 - 6 Bestselling Books",https://freecomputerbooks.com/The-Perl-CD-Bookshelf-Version-1-0.html
