title,url
 Beyond the Basic Stuff with Python: Writing Clean Code,https://freecomputerbooks.com/Beyond-the-Basic-Stuff-with-Python-Best-Practices-for-Writing-Clean-Code.html
" Python Packages (Tomas Beuzen, et al.)",https://freecomputerbooks.com/Python-Packages.html
" Deep Learning with Python, 2nd Edition (Francois Chollet)",https://freecomputerbooks.com/Deep-Learning-with-Python.htm
" Architecture Patterns with Python (Harry Percival, et al.)",https://freecomputerbooks.com/Architecture-Patterns-with-Python.html
 Clean Architectures in Python: Better Software Design,https://freecomputerbooks.com/Clean-Architectures-in-Python.html
 Automate the Boring Stuff with Python (Albert Sweigart),https://freecomputerbooks.com/Automate-the-Boring-Stuff-with-Python.html
 Python for Everybody: Exploring Data in Python 3,https://freecomputerbooks.com/Python-for-Everybody-Exploring-Data%20in-Python-3.html
 Problem Solving with Algorithms/Data Structures using Python,https://freecomputerbooks.com/Problem-Solving-with-Algorithms-and-Data-Structures-Using-Python.html
 Fundamentals of Python Programming (Richard L. Halterman),https://freecomputerbooks.com/Fundamentals-of-Python-Programming-by-Richard-Halterman.html
" O'Reilly® Think Python, 2nd Edition (Allen B. Downey)",https://freecomputerbooks.com/Think-Python-2nd-Edition.html
 The Big Book of Small Python Projects: 81 Easy Practice Programs,https://freecomputerbooks.com/The-Big-Book-of-Small-Python-Projects.html
 Practical Python Projects (Yasoob Khalid),https://freecomputerbooks.com/Practical-Python-Projects.html
" Python Programming Exercises, Gently Explained (Al Sweigart)",https://freecomputerbooks.com/Python-Programming-Exercises-Gently-Explained.html
 Functional Programming in Python (David Mertz),https://freecomputerbooks.com/Functional-Programming-in-Python.html
" Python 3 Patterns, Recipes and Idioms (Bruce Eckel, et al)",https://freecomputerbooks.com/Python-3-Patterns-Recipes-and-Idioms.html
 The Recursive Book of Recursion using Python (Al Sweigart),https://freecomputerbooks.com/The-Recursive-Book-of-Recursion-Ace-the-Coding-Interview-with-Python-and-JavaScript.html
 O'Reilly® Python Data Science Handbook: Essential Tools,https://freecomputerbooks.com/Python-Data-Science-Handbook.html
 Modeling and Simulation in Python (Allen B. Downey),https://freecomputerbooks.com/Modeling-and-Simulation-in-Python.html
 Introduction to Scientific Programming with Python,https://freecomputerbooks.com/Introduction-to-Scientific-Programming-with-Python.html
 Python for Network Engineers (Natasha Samoylenko),https://freecomputerbooks.com/Python-for-Network-Engineers.html
 Programming for Computations - Python 3 Edition,https://freecomputerbooks.com/Programming-for-Computations-Python-3.6.html
 Computational Physics with Python (Eric Ayars),https://freecomputerbooks.com/Computational-Physics-with-Python-by-Eric-Ayars.html
 Python Design Patterns (Brandon Rhodes),https://freecomputerbooks.com/Python-Design-Patterns.html
 O'Reilly® 20 Python Libraries You Aren't Using (But Should),https://freecomputerbooks.com/20-Python-Libraries%20You-Are-Not-Using-But-Should.html
 O'Reilly® Think Bayes: Bayesian Statistics in Python,https://freecomputerbooks.com/Think-Bayes-Bayesian-Statistics-Made-Simple.html
 How To Code in Python 3 (Lisa Tagliaferri),https://freecomputerbooks.com/How-To-Code-in-Python-3.html
 Python Tutorial (Guido van Rossum),https://freecomputerbooks.com/Python-Tutorial-by-Guido-van-Rossum.html
 How to Think Like a Computer Scientist: Learning with Python 3,https://freecomputerbooks.com/How-to-Think-Like-a-Computer-Scientist-Learning-with-Python.html
 The Coder's Apprentice: Learning Programming with Python 3,https://freecomputerbooks.com/The-Coders-Apprentice-Learning-Programming-with-Python-3.html
 Code Like a Pythonista: Idiomatic Python (David Goodger),https://freecomputerbooks.com/Code-Like-a-Pythonista-Idiomatic-Python.html
 Learn More Python 3 The Hard Way (Zed A. Shaw),https://freecomputerbooks.com/Learn-Python-The-Hard-Way.html
" Create Graphical User Interfaces with Python (Laura Sach, et al)",https://freecomputerbooks.com/Create-Graphical-User-Interfaces-with-Python.html
 Foundations of Robotics: Approach with Python and ROS,https://freecomputerbooks.com/Foundations-of-Robotics-Approach-with-Python-and-ROS.html
