title,url
 Hyperparameter Tuning for Machine and Deep Learning with R,https://freecomputerbooks.com/Hyperparameter-Tuning-for-Machine-and-Deep-Learning-with-R.html
" Geocomputation with R (Robin Lovelace, et al.)",https://freecomputerbooks.com/Geocomputation-with-R.html
 Hands-On Programming with R: Functions and Simulations,https://freecomputerbooks.com/Hands-On-Programming-with-R-Write-Your-Own-Functions-and-Simulations.html
 R Programming for Data Science (Roger D. Peng),https://freecomputerbooks.com/R-Programming-for-Data-Science.html
 R Graphics Cookbook: Practical Recipes for Visualizing Data,https://freecomputerbooks.com/R-Graphics-Cookbook-Practical-Recipes-for-Visualizing-Data.html
" An Introduction to R (Alex Douglas, et al.)",https://freecomputerbooks.com/An-Introduction-to-R-by-Alex-Douglas.html
" Advanced R, Second Edition (Hadley Wickham)",https://freecomputerbooks.com/Advanced-R-by-Hadley-Wickham.html
" Advanced R Solutions (Malte Grosser, et al)",https://freecomputerbooks.com/Advanced-R-Solutions.html
" R for Data Science: Visualize, Model, Transform, Tidy, Import",https://freecomputerbooks.com/R-for-Data-Science.html
" R Packages: Organize, Test, Document, and Share Your Code",https://freecomputerbooks.com/R-Packages.html
" Forecasting, Principles and Practice, Using R (R. J. Hyndman)",https://freecomputerbooks.com/Forecasting-Principles-and-Practice.html
 Introduction to Data Science: Data Analysis and Algorithms with R,https://freecomputerbooks.com/Introduction-to-Data-Science-Data-Analysis-and-Prediction-Algorithms-with-R.html
 Regression Models for Data Science in R (Brian Caffo),https://freecomputerbooks.com/Regression-Models-for-Data-Science-in-R.html
 Efficient R Programming: Practical Guide to Smarter Programming,https://freecomputerbooks.com/Efficient-R-Programming.html
 Cookbook for R: Best R Programming TIPs (Winston Chang),https://freecomputerbooks.com/Cookbook-for-R.html
 Advanced R (Florian Prive),https://freecomputerbooks.com/Advanced-R-by-Florian-Prive.html
 Applied Statistics with R (David Dalpiaz),https://freecomputerbooks.com/Applied-Statistics-with-R.html
 An Introduction to Statistical Learning: with Applications in R,https://freecomputerbooks.com/An-Introduction-to-Statistical-Learning.html
 An Introduction to Bayesian Thinking using R,https://freecomputerbooks.com/An-Introduction-to-Bayesian-Thinking.html
 Bayes Rules! An Introduction to Applied Bayesian Modeling using R,https://freecomputerbooks.com/Bayes-Rules-An-Introduction-to-Applied-Bayesian-Modeling.html
 Bayes Factors for Forensic Decision Analyses with R,https://freecomputerbooks.com/Bayes-Factors-for-Forensic-Decision-Analyses-with-R.html
 Advanced Data Analysis using R (Cosma R. Shalizi),https://freecomputerbooks.com/Advanced-Data-Analysis-from-an-Elementary-Point-of-View.html
" Introduction to Statistical Thinking, with R, without Calculus",https://freecomputerbooks.com/Introduction-to-Statistical-Thinking.html
 Linear Regression Using R: An Introduction to Data Modeling,https://freecomputerbooks.com/Linear-Regression-Using-R.html
 Exploratory Data Analysis with R (Roger D. Peng),https://freecomputerbooks.com/Exploratory-Data-Analysis-with-R.html
 Learning Statistics with R (Daniel Navarro),https://freecomputerbooks.com/Learning-Statistics-with-R.html
" Text Mining with R: A Tidy Approach (Julia Silge, et al)",https://freecomputerbooks.com/Text-Mining-with-R-A-Tidy-Approach.html
 Advanced R Programming (Hadley Wickham),https://freecomputerbooks.com/Advanced-R-by-Hadley-Wickham.html
 R for Beginners (Sasha D. Hafner),https://freecomputerbooks.com/R-for-Beginners.html
 Just Enough R: Learn Data Analysis with R in a Day (S. Raman),https://freecomputerbooks.com/Just-Enough-R.html
 The R Inferno (Patrick Burns),https://freecomputerbooks.com/The-R-Inferno.html
 The Art of R Programming: A Tour of Statistical Software Design,https://freecomputerbooks.com/The-Art-of-R-Programming-Matloff-Norman.html
 A Step-by-Step R Tutorial: Applications and Programming,https://freecomputerbooks.com/A-Step-by-Step-R-Tutorial.html
 Analyzing Linguistic Data: Introduction to Statistics using R,https://freecomputerbooks.com/Analyzing-Linguistic-Data-Introduction-Statistics-Using-R.html
 Statistical Foundations of Machine Learning using R,https://freecomputerbooks.com/Statistical-Foundations-of-Machine-Learning.html
 Statistics with R (Vincent Zoonekynd),https://freecomputerbooks.com/Statistics-with-R-by-Vincent-Zoonekynd.html
 Introduction to Probability and Statistics Using R (G. Jay Kerns),https://freecomputerbooks.com/Introduction-to-Probability-and-Statistics-Using-R.html
 R Succinctly (Barton Poulson),https://freecomputerbooks.com/R-Succinctly.html
 Using R for Data Analysis and Graphics (J H Maindonald),https://freecomputerbooks.com/Using-R-for-Data-Analysis-and-Graphics.html
 An Introduction to R: A Programming Environment for Data Analysis,https://freecomputerbooks.com/An-Introduction-to-R.html
" Applied Spatial Data Analysis with R (Roger S. Bivand, et al)",https://freecomputerbooks.com/Applied-Spatial-Data-Analysis-with-R.html
" A Handbook of Statistical Analyses Using R (Brian S. Everitt, et al)",https://freecomputerbooks.com/A-Handbook-of-Statistical-Analyses-Using-R.html
 Using R for Introductory Statistics (John Verzani),https://freecomputerbooks.com/Using-R-for-Introductory-Statistics.html
" Exploring Data Science (Nina Zumel, et al)",https://freecomputerbooks.com/Exploring-Data-Science.html
