title,url
 Rails on Containers (Katherine Juell),https://freecomputerbooks.com/Rails-on-Containers.html
 Programming Ruby: The Pragmatic Programmers' Guide,https://freecomputerbooks.com/Programming-Ruby-The-Pragmatic-Programmers-Guide.html
 Essential Ruby (Krzysztof Kowalczyk),https://freecomputerbooks.com/Essential-Ruby.html
" Learn to Program (in Ruby), Second Edition (Chris Pine)",https://freecomputerbooks.com/Learn-Ruby-The-Hard-Way.html
 Ruby Data Structures and Algorithms (Christopher Fox),https://freecomputerbooks.com/I-Love_Ruby-by-Karthikeyan.html
 Ruby Programming (Wikibooks),https://freecomputerbooks.com/Developing-Games-With-Ruby.html
 Using Blocks in Ruby: A Brain-Friendly Report (Jay McGavren),https://freecomputerbooks.com/Essential-Ruby-On-Rails.html
 Learn Ruby the Hard Way: A Simple and Idiomatic Introduction,https://freecomputerbooks.com/Ruby-on-Rails-Tutorial.html
 I Love Ruby (Karthikeyan A K),https://freecomputerbooks.com/APIs-on-Rails-Building-REST-APIs-with-Rails.html
 Developing Games With Ruby (Tomas Varaneckas),https://freecomputerbooks.com/Ruby-Hacking-Guide.html
 Essential Ruby On Rails (Krzysztof Kowalczyk),https://freecomputerbooks.com/Ruby-Essentials.html
 Ruby on Rails Tutorial: Learn Web Development with Rails,https://freecomputerbooks.com/Rails-Deep-Dive.html
 APIs on Rails - Building REST APIs with Rails (Abraham Kuri),https://freecomputerbooks.com/Objects-on-Rails.html
 Ruby Hacking Guide (Minero Aoki),https://freecomputerbooks.com/The-Bastards-Book-of-Ruby.html
 Ruby Essentials (Neil Smyth),https://freecomputerbooks.com/Clever-Algorithms.html
 Rails Deep Dive (Glenn Goodrich),https://freecomputerbooks.com/Little-Ruby-Book.html
 Objects on Rails (Avdi Grimm),https://freecomputerbooks.com/Data-Structures-and-Algorithms-with-Object-Oriented-Design-Patterns-in-Ruby.html
 The Bastards Book of Ruby (Dan Nguyen),https://freecomputerbooks.com/Swift-for-Ruby-Developers.html
 Clever Algorithms: Nature-Inspired Programming Recipes in Ruby,https://freecomputerbooks.com/Clever-Algorithms.html
 Mr. Neighborly's Humble Little Ruby Book (Jeremy McAnally),https://freecomputerbooks.com/Little-Ruby-Book.html
 Data Structures and Algorithms with OPP Design Patterns in Ruby,https://freecomputerbooks.com/Data-Structures-and-Algorithms-with-Object-Oriented-Design-Patterns-in-Ruby.html
 Swift for Ruby Developers: An Tutorial Introduction,https://freecomputerbooks.com/Swift-for-Ruby-Developers.html
 O'Reilly® MacRuby: The Definitive Guide: Ruby and Cocoa on OS X,https://freecomputerbooks.com/MacRuby-The-Definitive-Guide.html
 O'Reilly® Rails 3 in a Nutshell: A Desktop Quick Reference,https://freecomputerbooks.com/Rails-in-a-Nutshell.html
 The Book of Ruby: A Hands-On Guide for the Adventurous,https://freecomputerbooks.com/the-book-of-ruby.html
 O'Reilly® Ruby Best Practices (Gregory T Brown),https://freecomputerbooks.com/Ruby-Best-Practices.html
 Ruby on Rails Security Guide (OWASP Foundation),https://freecomputerbooks.com/Ruby-on-Rails-Security-Guide.html
" Getting Real: The Smarter, Faster, Easier Way to Build a Web",https://freecomputerbooks.com/Getting-Real.html
