title,url
 Introduction to SQL (Bobby Iliev),https://freecomputerbooks.com/Introduction-to-SQL.html
 SQL Performance Explained: Everything Developers Need to Know,https://freecomputerbooks.com/SQL-Performance-Explained.html
 A Primer on SQL (Rahul Batra),https://freecomputerbooks.com/A-Primer-on-SQL-by-Rahul-Batra.html
 SQL Queries Succinctly (Nick Harrison),https://freecomputerbooks.com/SQL-Queries-Succinctly.html
 SQL for Web Nerds (Philip Greenspun),https://freecomputerbooks.com/SQL-for-Web-Nerds.html
 Essential SQL (Krzysztof Kowalczyk),https://freecomputerbooks.com/Essential-SQL.html
 Structured Query Language (WikiBooks),https://freecomputerbooks.com/Structured-Query-Language-WikiBooks.html
 Transact-SQL: The Building Blocks to SQL Server Programming,https://freecomputerbooks.com/Transact-SQL-The-Building-Blocks-to-SQL-Server-Programming.html
" Learn T-SQL Querying (Pedro Lopes, et al)",https://freecomputerbooks.com/Learn-T-SQL-Querying.html
 SQL Notes for Professionals,https://freecomputerbooks.com/SQL-Notes-for-Professionals.html
 Developing Time-Oriented Database Applications in SQL,https://freecomputerbooks.com/Developing-Time-Oriented-Database-Applications-in-SQL.html
 Structured Query Language - A Practical Introduction (Akeel I. Din),https://freecomputerbooks.com/Structured-Query-Language-A-Practical-Introduction.html
" SQL: A Comparative Survey, 2nd Edition (Hugh Darwen)",https://freecomputerbooks.com/SQL-A-Comparative-Survey.html
" Sams Teach Yourself SQL in 24 Hours (Ryan Stephens, et al)",https://freecomputerbooks.com/Sams_Teach_Yourself_SQL_in_24_Hours.html
 Database Design and Implementation using Oracle SQL,https://freecomputerbooks.com/Database-Design-and-Implementation-A-Practical-Introduction-using-Oracle-SQL.html
" Database Design with UML and SQL, 4th Edition (Alvaro Monge)",https://freecomputerbooks.com/Database-Design-with-UML-and-SQL-3rd-Edition.html
 Windows Azure SQL Reporting Succinctly (Stacia Misner),https://freecomputerbooks.com/Windows-Azure-SQL-Reporting-Succinctly.html
 PostgreSQL 9.0 Reference - Volume 1A: The SQL Language,https://freecomputerbooks.com/PostgreSQL-9-0-Reference-Manual-Volume-1A.html
 PostgreSQL 9.0 Reference - Volume 1B: SQL Command Reference,https://freecomputerbooks.com/PostgreSQL-9-0-Reference-Manual-Volume-1B.html
 Accounting Succinctly: A Developer's Guide (Joe Booth),https://freecomputerbooks.com/Accounting-Succinctly-A-Developers-Guide.html
 Information Modeling: Specification and Implementation,https://freecomputerbooks.com/Information-Modeling-Specification-and-Implementation.html
