title,url
 Scala Book (Alvin Alexander),https://freecomputerbooks.com/Scala-Book.html
 Programming in Scala: A comprehensive step-by-step guide,https://freecomputerbooks.com/Programming-in-Scala.html
" Creative Scala (Dave Gurnell, et al)",https://freecomputerbooks.com/Creative-Scala.html
" Essential Scala (Noel Welsh, et al)",https://freecomputerbooks.com/Essential-Scala.html
 Scala By Example (Martin Odersky),https://freecomputerbooks.com/Scala-By-Example.html
" Scala with Cats (Noel Welsh, et al)",https://freecomputerbooks.com/Scala-with-Cats.html
 Scala: A Pragmatic Programming Language,https://freecomputerbooks.com/Scala-Wikibook.html
 Scala for the Impatient (Cay Horstmann),https://freecomputerbooks.com/Scala-for-the-Impatient.html
 O'Reilly® Lift Cookbook (Richard Dallaway),https://freecomputerbooks.com/Lift-Cookbook.html
" Exploring Lift (Derek Chen-Becker, et al)",https://freecomputerbooks.com/Exploring-Lift.html
 Simply Lift (David Pollak),https://freecomputerbooks.com/Simply-Lift.html
 Compiling Scala for the Java Virtual Machine (Michel Schinz),https://freecomputerbooks.com/Compiling-Scala-for-the-Java-Virtual-Machine.html
 Scala Style Guide (Scala Community),https://freecomputerbooks.com/Scala-Style-Guide.html
 O'Reilly® Programming Scala: Scalability = Functional + Objects,https://freecomputerbooks.com/Programming-Scala.html
 Learning Scala: Practical Functional Programming for the JVM,https://freecomputerbooks.com/Learning-Scala.html
