title,url
 Beginning iOS Programming with Swift (Simon Ng),https://freecomputerbooks.com/Beginning-iOS-Programming-with-Swift.html
 Swift Algorithms and Data Structures (Wayne Bishop),https://freecomputerbooks.com/Swift-Algorithms-and-Data-Structures.html
 SwiftUI Essentials - iOS Edition (Neil Smyth),https://freecomputerbooks.com/SwiftUI-Essentials-iOS-Edition.html
 Learn Swift (Aidan Finn),https://freecomputerbooks.com/Learn-Swift-Aidan-Finn.html
 Hacking with Swift (Paul Hudson),https://freecomputerbooks.com/Hacking-with-Swift.html
 Mastering Swift (Jon Hoffman),https://freecomputerbooks.com/Swift-Essentials.html
 Essential Swift (Krzysztof Kowalczyk),https://freecomputerbooks.com/Essential-Swift.html
 Swift Notes for Professionals,https://freecomputerbooks.com/Swift-Notes-for-Professionals.html
 iOS App Development Essentials: Xcode and Swift,https://freecomputerbooks.com/iOS-10-App-Development-Essentials.html
 Swift Pocket Reference: Programming for iOS and OS X,https://freecomputerbooks.com/Swift-Pocket-Reference-Programming-for-iOS-and-OS-X.html
 Swift by Tutorials: An Hands-On Approach,https://freecomputerbooks.com/Swift-by-Tutorials.html
 iOS 9 App Development Essentials: Xcode 7 and Swift 2,https://freecomputerbooks.com/iOS-9-App-Development-Essentials.html
 iOS 8 App Development Essentials: Develop iOS 8 Apps in Swift,https://freecomputerbooks.com/iOS-8-App-Development-Essentials.html
 Xcode Tutorial For Beginners (Chris Ching),https://freecomputerbooks.com/Xcode-Tutorial-For-Beginners.html
 The Swift Programming Language (Apple),https://freecomputerbooks.com/The-Swift-Programming-Language.html
 Swift for Ruby Developers: An Tutorial Introduction,https://freecomputerbooks.com/Swift-for-Ruby-Developers.html
 Test-Driven iOS Development with Swift (Dominik Hauser),https://freecomputerbooks.com/Test-Driven-iOS-Development-with-Swift.html
