Title,Description,urls
" JavaScript Frameworks/Libraries (React.js, Angular, Node.js, etc.)","A collection of JavaScript Frameworks/Libraries related books, including (but not limited to): React.js, Angular/AngularJS, Node.js, Vue.js, Backbone.js, Ember.js, Knockout.js, Dojo.js, D3.js, Three.js, Leaflet.js, Google Maps API, Bing Maps API, etc.",https://freecomputerbooks.com/webJavaScriptFrameworksBooks.html
 JavaScript for Impatient Programmers (Axel Rauschmayer),"This book makes JavaScript less challenging to learn for newcomers, by offering a modern view that is as consistent as possible. No prior knowledge of JavaScript is required, but you should know how to program.",https://freecomputerbooks.com/JavaScript-for-Impatient-Programmers.html
" Eloquent JavaScript, 3rd Edition: A Modern Introduction","Eloquent JavaScript dives deep into the JavaScript language to show you how to write beautiful, effective code. It immerses you in example code from the start, while exercises and full-chapter projects give you hands-on experience.",https://freecomputerbooks.com/Eloquent-JavaScript.html
 Deep JavaScript: Theory and Techniques (Axel Rauschmayer),"In depth knowledge of JavaScript makes it easier to learn a variety of other frameworks, including Node.js, React, Angular, and related tools and libraries. This book is designed to help you cover the core JavaScript concepts you need to build modern applications.",https://freecomputerbooks.com/Deep-JavaScript-Theory-and-Techniques.html
 You Don't Know JS Yet: Get Started - 2nd Ed. (Kyle Simpson),"By learning the basic building blocks of programming, as well as JavaScript's core mechanisms, you'll be prepared to dive into the other, more in-depth books in the series and be well on your way toward true JavaScript.",https://freecomputerbooks.com/You-Dont-Know-JS-Up-Going.html
" You Don't Know JS Yet: Scope and Closures, 2nd Edition","This concise yet in-depth guide takes you inside scope and closures, two core concepts you need to know to become a more efficient and effective JavaScript programmer. You'll learn how and why they work, and how to use it, etc.",https://freecomputerbooks.com/You-Dont-Know-JS-Scope-and-Closures.html
" JavaScript: The First 20 Years (Allen Wirfs-Brock, et al)","This book tells the story of the creation, design, evolution, and standardization of the JavaScript language over the period of 1995–2015. But the story is not only about the technical details of the language.",https://freecomputerbooks.com/JavaScript-The-First-20-Years.html
 Mostly Adequate Guide To Functional Programming in JavaScript,This is a book on the functional paradigm in general. We'll use the world's most popular functional programming language: JavaScript. This makes it possible to practice and apply your acquired knowledge each day on real world programs.,https://freecomputerbooks.com/Mostly-Adequate-Guide-To-Functional-Programming.html
 Structure and Interpretation of Computer Programs in JavaScript,This book introduces the reader to central ideas of computation by establishing a series of mental models for computation. It has had a dramatic impact on computer science curricula over the past decades. Examples are implemented using the JavaScript.,https://freecomputerbooks.com/Structure-and-Interpretation-of-Computer-Programs-JavaScript-Edition.html
 Oh My JavaScript: The Best JavaScript Articles (Azat Mardan),"This book is a compilation of publicly available resources conveniently edited and packaged in an ebook format (PDF, ePub, mobi). Attributions are carefully preserved. It will save your many hours of frustrations and internet searches!",https://freecomputerbooks.com/Oh-My-JavaScript.html
 The Recursive Book of Recursion using JavaScript (Al Sweigart),"Recursion has an intimidating reputation. This book uses Python and JavaScript examples to teach the basics of recursion, exposing the ways that it's often poorly taught and clarifying the fundamental principles of all recursive algorithms.",https://freecomputerbooks.com/The-Recursive-Book-of-Recursion-Ace-the-Coding-Interview-with-Python-and-JavaScript.html
 Understanding ECMAScript 6 (Nicholas C. Zakas),"This book is a guide for the transition between ECMAScript 5 and 6. In particular, this book is aimed at intermediate-to-advanced JavaScript developers (both browser and Node.js environments) who want to learn about the future of the language.",https://freecomputerbooks.com/Understanding-ECMAScript-6.html
 Functional-Light JavaScript (Kyle Simpson),"This book is a balanced, pragmatic exploration of Functional Programming (FP) in JavaScript. It explores the core principles of FP as they are applied to JavaScript without drowning in all the heavy terminology.",https://freecomputerbooks.com/Functional-Light-JavaScript.html
